Country,Human_development,GII,Rank,Maternal_mortality,Adolescent_birth_rate,Seats_parliament,F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force
Switzerland,Very high,0.018,3,5,2.2,39.8,96.9,97.5,61.7,72.7
Norway,Very high,0.016,2,2,2.3,45,99.1,99.3,60.3,72
Iceland,Very high,0.043,8,4,5.4,47.6,99.8,99.7,61.7,70.5
Hong Kong,Very high,,,,1.6,,77.1,83.4,53.5,65.8
Australia,Very high,0.073,19,6,8.1,37.9,94.6,94.4,61.1,70.5
Denmark,Very high,0.013,1,4,1.9,39.7,95.1,95.2,57.7,66.7
Sweden,Very high,0.023,4,4,3.3,47,91.8,92.2,61.7,68
Ireland,Very high,0.074,21,5,5.9,27.3,88.1,86,56.5,68.6
Germany,Very high,0.073,19,7,7.5,34.8,96.1,96.5,56.8,66
Netherlands,Very high,0.025,5,5,2.8,39.1,89.8,92.7,62.4,71.3
Finland,Very high,0.033,6,3,4.2,46,99,98.5,56.5,64
Singapore,Very high,0.04,7,8,2.6,29.8,80.5,85.9,59.4,76.8
Belgium,Very high,0.048,10,5,5.3,42.9,87.2,89.7,49.8,58.8
New Zealand,Very high,0.088,25,9,12.6,49.2,82,81.8,65.1,75.3
Canada,Very high,0.069,17,10,7,34.4,100,100,60.8,69.7
Liechtenstein,Very high,,,,3,28,,,,
Luxembourg,Very high,0.044,9,5,4.3,35,100,100,58.5,65.5
United Kingdom,Very high,0.098,27,7,10.5,31.1,99.8,99.8,58,67.1
Japan,Very high,0.083,22,5,2.9,14.2,95.9,92.7,53.3,71
South Korea,Very high,0.067,15,11,2.2,19,83.1,93.1,53.4,72.4
United States,Very high,0.179,44,19,16,27,96.5,96.4,55.2,66.4
Israel,Very high,0.083,22,3,7.6,28.3,91.6,93.7,58.5,66.1
Malta,Very high,0.167,42,6,11.5,13.4,82.2,88.1,53.1,71.4
Slovenia,Very high,0.071,18,7,4.5,21.5,97.6,98.7,53.8,62.2
Austria,Very high,0.053,12,5,5.5,39.3,100,100,55.5,66.3
United Arab Emirates,Very high,0.049,11,3,3.1,50,82,85.6,46.5,88
Spain,Very high,0.057,14,4,6.3,42.3,78.5,83.2,52.7,62.4
France,Very high,0.083,22,8,9.5,37.8,83.5,87.9,51.9,59.7
Cyprus,Very high,0.123,35,6,6.8,14.3,81.1,84.8,56.6,68.8
Italy,Very high,0.056,13,2,4,35.3,78.6,86.1,39.9,57.6
Estonia,Very high,0.1,28,9,8.8,25.7,97.6,98.1,57.5,70.2
Czechia,Very high,0.12,34,3,9.7,22.1,99.8,99.8,51.7,68.1
Greece,Very high,0.119,32,3,8.5,21.7,69.9,77.8,43.3,58.1
Poland,Very high,0.109,31,2,9.7,27.5,86.5,90.7,49.2,65.5
Bahrain,Very high,0.181,46,14,8.7,18.8,79.9,83.1,42.4,83.5
Lithuania,Very high,0.105,30,8,10.4,27.7,95.5,97.9,57.3,67.9
Saudi Arabia,Very high,0.247,59,17,11.9,19.9,71.3,80.9,30.9,80.1
Portugal,Very high,0.067,15,8,7.4,40,59.7,61.9,54,62.2
Latvia,Very high,0.151,40,19,11.2,29,99.7,99.3,54.5,66.8
Andorra,Very high,,,,5.9,46.4,70.7,72.4,,
Croatia,Very high,0.093,26,8,8.6,31.1,97,100,45.9,58.8
Chile,Very high,0.187,47,13,24.1,32.7,80.3,83.5,44.2,65.5
Qatar,Very high,0.22,54,9,7.1,4.4,79.8,69.6,57.2,95.5
San Marino,Very high,,,,3.8,33.3,81.8,84.3,,
Slovakia,Very high,0.18,45,5,26.3,22.7,98.9,99.2,54.7,66.4
Hungary,Very high,0.221,55,12,22.1,13.1,97.6,98.8,52.1,67.2
Argentina,Very high,0.287,69,39,39.1,44.4,71,71.4,50,71.6
Türkiye,Very high,0.272,65,17,16.9,17.3,56.3,75.9,31.8,69.4
Montenegro,Very high,0.119,32,6,10.4,24.7,92.3,99.2,47.8,62
Kuwait,Very high,0.305,74,12,5.6,1.5,60.9,55.2,47.4,83.8
Brunei Darussalam,Very high,0.259,61,31,10,9.1,70.4,71.2,54.1,72.3
Russian Federation,Very high,0.203,50,17,15,16.5,92.8,95.9,54.5,69.7
Romania,Very high,0.282,67,19,36.4,18.5,88.8,93.7,42.8,62.3
Oman,Very high,0.3,72,19,9.9,9.9,96.6,99.9,28.7,85
Bahamas,Very high,0.329,78,70,25.7,20,87,89.9,65.6,71.5
Kazakhstan,Very high,0.161,41,10,21.9,24.5,99.8,100,63.3,75.5
Trinidad and Tobago,Very high,0.344,81,67,38.1,32.4,84.8,80.6,46.7,68
Costa Rica,Very high,0.256,60,27,37.1,45.6,56.2,54.5,47.5,71.1
Uruguay,Very high,0.235,58,17,36.2,26.2,59.6,55.5,54.8,69.3
Belarus,Very high,0.104,29,2,11.9,34.7,97.5,99,57.3,71.4
Panama,Very high,0.392,96,52,69.9,22.5,70.2,68.7,50.4,72.6
Malaysia,Very high,0.228,57,29,9.3,14.9,75,78.4,51.2,77.6
Georgia,Very high,0.28,66,25,31.7,19.3,97.1,98.3,51,68
Mauritius,Very high,0.347,82,61,24.6,20,64.4,70.8,43.4,70.4
Serbia,Very high,0.131,36,12,14.9,39.2,88.6,95.3,46.6,62.3
Thailand,Very high,0.333,79,37,32.7,13.9,47.6,51.7,59,75
Albania,High,0.144,39,15,14.5,35.7,95.4,93,50.7,66.2
Bulgaria,High,0.21,52,10,38.6,23.8,94.9,96.5,49.1,62.6
Grenada,High,,,25,32.7,32.1,,,,
Barbados,High,0.268,64,27,42.3,29.4,95.4,86,56.1,63.7
Antigua and Barbuda,High,,,42,33.1,31.4,,,,
Seychelles,High,,,53,53.4,22.9,,,,
Sri Lanka,High,0.383,92,36,15.7,5.4,84,84.2,30.9,68.5
Bosnia and Herzegovina,High,0.136,38,10,9.9,24.6,82.7,94,32.3,52.4
Saint Kitts and Nevis,High,,,,38.2,25,,,,
Iran,High,0.459,115,16,30.2,5.6,71.6,76,14.4,68.1
Ukraine,High,0.2,49,19,15.6,20.8,96.2,95.8,48.1,63.6
North Macedonia,High,0.134,37,7,16.4,41.7,61.9,75.1,42.4,63.4
China,High,0.192,48,29,11,24.9,78.3,85.4,61.6,74.3
Dominican Republic,High,0.429,106,95,65.6,25.7,77.4,76.9,49.6,75.2
Moldova,High,0.205,51,19,27.8,39.6,96.1,98,33.9,43.9
Palau,High,,,,42.5,6.9,96.9,97.3,,
Cuba,High,0.303,73,36,48.8,53.4,89.5,91.9,40.3,68.5
Peru,High,0.38,90,88,56.8,40,59.3,69.9,66.1,81.9
Armenia,High,0.216,53,26,18.5,33.6,96,97.1,42.7,63
Mexico,High,0.309,75,33,54.4,49.8,65.1,66.7,43.8,75.4
Brazil,High,0.39,94,60,45.2,14.8,62.4,59.1,49.1,68.2
Colombia,High,0.424,102,83,59,19.6,58.9,56.5,52.2,78
Saint Vincent and the Grenadines,High,0.39,94,68,47.9,18.2,44.1,39.6,52.9,74.1
Maldives,High,0.348,83,53,7.3,4.6,46.4,41.5,34.3,67.5
Algeria,High,0.499,126,112,11.7,7.5,46,56.9,15.7,64.5
Azerbaijan,High,0.294,70,26,40.1,18.2,93.6,97.6,60.4,67.3
Tonga,High,0.631,160,52,19,0,93.5,93.1,37.3,55.3
Turkmenistan,High,0.177,43,7,21.8,25,93.5,92.2,36.5,55.6
Ecuador,High,0.362,85,59,63.2,39.4,53,52,53.3,76.5
Mongolia,High,0.313,76,45,26.7,17.1,79.3,73,51.5,66.6
Egypt,High,0.443,109,37,44.8,22.9,81.6,76.6,15.4,67.1
Tunisia,High,0.259,61,43,6.7,26.3,42.9,51.8,25.5,67.2
Fiji,High,0.318,77,34,26.8,21.6,90.2,87.9,37.7,75.3
Suriname,High,0.427,105,120,56.1,29.4,69.9,70.7,43.4,65.1
Uzbekistan,High,0.227,56,29,15.9,28.7,99.9,100,44.9,70.9
Dominica,High,,,,38.5,34.4,,,,
Jordan,High,0.471,118,46,25.4,11.8,77.4,84.2,13.5,62.3
Libya,High,0.259,61,72,6.9,16,70.5,45.1,34.1,61
Paraguay,High,0.445,111,84,70.3,16.8,52.5,54,59.6,84.2
Palestine,High,,,27,43.5,,67.9,67.6,16.7,66.3
Saint Lucia,High,0.381,91,117,36.9,24.1,49.9,43.8,63.2,73.2
Guyana,High,0.454,114,169,66.6,35.7,69.5,62.2,40.3,64.1
South Africa,High,0.405,97,119,61.2,46,68.9,87.7,46.2,59.9
Jamaica,High,0.335,80,80,32.8,31,74.3,66.4,56.1,70
Samoa,High,0.418,99,43,43.6,7.8,79.1,71.6,30.7,54.2
Gabon,High,0.541,140,252,91.2,18.7,67.2,84,39.1,57
Lebanon,High,0.432,108,29,20.3,4.7,54.3,55.6,20.8,64.3
Indonesia,High,0.444,110,177,33.9,21,51,58.2,53.7,81.7
Viet Nam,High,0.296,71,43,34.6,30.3,61.3,69.6,69.6,79.4
Philippines,Medium,0.419,101,121,48.2,28,73.4,69.1,43.8,68.3
Botswana,Medium,0.468,117,144,49.3,10.8,91.3,91.8,56.3,65.1
Bolivia,Medium,0.418,99,155,63.8,48.2,60.1,69.7,68.3,83.8
Kyrgyzstan,Medium,0.37,87,60,34.7,20.5,100,99.8,42.1,71.7
Venezuela,Medium,0.492,123,125,82.7,22.2,79.8,75.4,34.3,67.8
Iraq,Medium,0.558,145,79,62.2,28.9,42,52.9,11.1,71.8
Tajikistan,Medium,0.285,68,17,45.4,23.4,93.5,94.6,30.2,50.5
Belize,Medium,0.364,86,36,57.1,19.6,54.5,49.8,46.9,76.8
Morocco,Medium,0.425,104,70,25.9,20.4,30.9,37.1,22,66
El Salvador,Medium,0.376,88,46,55.9,27.4,42.7,51.4,43.6,72.6
Nicaragua,Medium,0.424,102,98,85.6,50.5,51.2,49.7,46.8,81.3
Bhutan,Medium,0.415,98,183,19,16.7,23.6,32.3,51.6,67.4
Cabo Verde,Medium,0.349,84,58,55.2,38.9,28.8,31.2,46.9,61.7
Bangladesh,Medium,0.53,131,173,75.5,20.9,50.6,58.5,34.9,78.8
Tuvalu,Medium,,,,33.1,6.3,60,60.7,,
Marshall Islands,Medium,,,,58,6.1,91.6,92.5,,
India,Medium,0.49,122,133,17.2,13.4,41.8,53.8,19.2,70.1
Ghana,Medium,0.529,130,308,64.2,14.5,58,73.2,64.5,72.2
Micronesia,Medium,,,88,35.8,7.1,,,,
Guatemala,Medium,0.481,121,95,64.1,19.4,29.5,35.8,37.4,80.3
Kiribati,Medium,,,92,40.5,6.7,,,,
Honduras,Medium,0.431,107,65,72,27.3,35.8,44.8,42.3,78.9
Sao Tome and Principe,Medium,0.494,124,130,79.4,23.6,39.9,48.4,37.1,69.9
Namibia,Medium,0.445,111,195,64.9,35.6,41.5,44.1,54.5,62.2
Lao People's Democratic Republic,Medium,0.478,120,185,73.2,22,37.7,47.7,74.8,78.1
Timor-Leste,Medium,0.378,89,142,33.9,38.5,33.7,41.8,61,72.2
Vanuatu,Medium,,,72,64.1,0,,,59.7,78
Nepal,Medium,0.452,113,186,63.8,33.6,28.8,44.7,78.7,80.8
Eswatini,Medium,0.54,138,437,69.9,18.4,34,36.2,45.6,53.6
Equatorial Guinea,Medium,,,301,139.7,20.3,,,49.9,58.5
Cambodia,Medium,0.461,116,160,45.5,19.8,18.3,31.7,74,85.9
Zimbabwe,Medium,0.532,134,458,94.3,34.6,61.8,72.4,79.3,88.9
Angola,Medium,0.537,136,241,138.4,29.5,28.2,51.5,74,79.1
Myanmar,Medium,0.498,125,250,33,15,38.5,47.8,41,70
Syrian Arab Republic,Medium,0.477,119,31,38.7,11.2,37.1,43.4,15.7,70.8
Cameroon,Medium,0.565,148,529,110.4,31.1,36.8,55,70.2,80.7
Kenya,Medium,0.506,128,342,64.2,23.2,31.1,37.7,71,75.6
Congo,Medium,0.564,147,378,103.6,13.6,48,52,65.1,67.6
Zambia,Medium,0.54,138,213,117,15.1,47.1,56.8,69.2,77.8
Solomon Islands,Medium,,,104,60.3,8,,,83.1,87.4
Comoros,Medium,,,273,58.2,16.7,,,32.1,54.5
Papua New Guinea,Medium,0.725,169,145,55.3,0,10.8,15.5,46.3,48.1
Mauritania,Medium,0.632,161,766,78,20.3,14.5,21.9,27.4,62.2
Côte d'Ivoire,Medium,0.613,155,617,105,15.6,23.9,32.2,45.9,64.9
Tanzania,Low,0.56,146,524,123.7,36.9,13,19.1,79.5,87.1
Pakistan,Low,0.534,135,140,42.3,19.9,22.1,28.7,20.7,78.1
Togo,Low,0.58,149,396,77.9,18.7,13.9,42.3,55.5,59.4
Haiti,Low,0.635,163,480,52.5,2.7,27.9,41,60.7,68.9
Nigeria,Low,0.68,168,917,101.7,4.5,40.4,55.3,47.9,59.6
Rwanda,Low,0.388,93,248,32.4,55.7,11.4,16.3,82.5,82.2
Benin,Low,0.602,152,397,92.3,8.4,21.1,34.4,69.3,72.6
Uganda,Low,0.53,131,375,107.9,33.8,29.3,36.3,64.2,71.3
Lesotho,Low,0.557,144,544,89.6,22.9,27.2,24.6,56.1,71.3
Malawi,Low,0.554,142,349,117.9,22.9,21.3,28.4,71.6,80
Senegal,Low,0.53,131,315,66.5,43,11.1,30.9,33.5,56.7
Djibouti,Low,,,248,22.7,26.2,,,17.2,44.1
Sudan,Low,0.553,141,295,79.9,31,16.4,20.1,28.7,67.8
Madagascar,Low,0.556,143,335,119.4,17.2,27.3,29.8,81.5,87.6
Gambia,Low,0.611,153,597,63.2,8.6,29.9,43.2,48.9,66.3
Ethiopia,Low,0.52,129,401,69.2,39.5,9.1,20.1,72.3,84.7
Eritrea,Low,,,480,64.4,22,,,70.2,83.6
Guinea-Bissau,Low,0.627,159,667,87.5,13.7,9.8,22.8,63.9,78.4
Liberia,Low,0.648,164,661,123.4,9.7,20.8,39.2,69.8,79.7
Congo,Low,0.601,151,473,109,14.3,40.3,69.1,61.2,69.1
Afghanistan,Low,0.678,167,638,82.6,27.2,6.4,14.9,14.8,66.5
Sierra Leone,Low,0.633,162,1120,100.9,12.3,34.7,51.5,56.1,55.9
Guinea,Low,0.621,157,576,114.8,16.7,7.2,19.7,62.1,62.2
Yemen,Low,0.82,170,164,54.4,0.3,22.4,37.5,6,67.6
Burkina Faso,Low,0.621,157,320,110.5,6.3,11.3,17.1,57.2,72.7
Mozambique,Low,0.537,136,289,165.8,42.4,10.8,20.2,77.7,78.9
Mali,Low,0.613,155,562,150.1,27.3,8,15.5,57.7,79.7
Burundi,Low,0.505,127,548,53.6,38.9,7.8,13,79,77.4
Central African Republic,Low,0.672,166,829,160.5,12.9,13.9,31.6,63.3,79.5
Niger,Low,0.611,153,509,170.5,25.9,9.2,15.2,61.7,84.3
Chad,Low,0.652,165,1140,138.3,32.3,7.7,24.4,46.9,69.9
South Sudan,Low,0.587,150,1150,99.2,32.3,26.5,36.4,70.4,73.6
North Korea,,,,89,2.3,17.6,,,77.2,86.1
Monaco,,,,,7.2,33.3,,,,
Nauru,,,,,72.5,10.5,,,,
Somalia,,,,829,118,24.6,,,20.9,47
